,index,book_title,author_id,Year released,Rating,ratings
140,458,P.S. I Like You (Hardcover),199.0,2016,4.05,54335.0
141,459,"Say Yes to the Marquess (Castles Ever After, #2)",72.0,2014,3.83,21080.0
142,460,Instructions for Dancing (Kindle Edition),300.0,2021,4.02,37962.0
143,461,Autoboyography (Hardcover),9.0,2017,4.18,47602.0
144,463,Something to Talk About (Paperback),225.0,2020,3.66,19263.0
145,464,"Tools of Engagement (Hot & Hammered, #3)",31.0,2020,3.79,36814.0
146,465,"A Breath of Snow and Ashes (Outlander, #6)",13.0,2005,4.43,163691.0
147,466,"Rule (Marked Men, #1)",226.0,2012,4.12,97511.0
148,467,"The Upside of Unrequited (Simonverse, #2)",40.0,2017,3.91,72060.0
149,468,"Edenbrooke (Edenbrooke, #1)",300.0,2012,4.32,47990.0
150,469,"Night Pleasures (Dark-Hunter, #1)",203.0,2002,4.19,77021.0
151,471,Things You Save in a Fire (Hardcover),210.0,2019,4.02,92697.0
152,472,"Pandemonium (Delirium, #2)",73.0,2012,4.04,231558.0
153,473,"Evermore (The Immortals, #1)",228.0,2009,3.59,282408.0
154,474,"The Rose & the Dagger (The Wrath and the Dawn, #2)",77.0,2016,4.06,85841.0
155,476,"Blue Dahlia (In the Garden, #1)",300.0,2004,4.12,70356.0
156,477,Credence (Paperback),46.0,2020,3.68,102715.0
157,478,The Grand Sophy (Paperback),229.0,1950,4.15,30755.0
158,479,I Kissed Shara Wheeler (Hardcover),2.0,2022,4.07,36892.0
159,481,"The Darkest Night (Lords of the Underworld, #1)",230.0,2008,4.05,82413.0
160,482,"Mystery Man (Dream Man, #1)",231.0,2011,4.21,70047.0
161,483,"Only When It's Us (Bergman Brothers, #1)",232.0,2020,4.01,26179.0
162,484,Window Shopping (ebook),300.0,2021,3.67,39346.0
163,486,"Burn for Me (Hidden Legacy, #1)",233.0,2014,4.32,53398.0
164,487,"Rules of Attraction (Perfect Chemistry, #2)",63.0,2010,4.18,86658.0
165,488,"Opal (Lux, #3)",55.0,2012,4.26,143863.0
166,490,"Again the Magic (Wallflowers, #0)",68.0,2004,4.05,38636.0
167,491,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",101.0,2012,4.1,76134.0
168,492,"Dead to the World (Sookie Stackhouse, #4)",99.0,2004,4.12,253637.0
169,493,You've Reached Sam (Hardcover),235.0,2021,3.77,52535.0
170,494,The Fill-In Boyfriend (Paperback),199.0,2015,3.9,61519.0
171,495,How to Fail at Flirting (Paperback),236.0,2020,3.82,24275.0
172,496,"Club Dead (Sookie Stackhouse, #3)",99.0,2003,4.01,230201.0
173,498,Lovely War (Hardcover),238.0,2019,4.25,44230.0
174,500,"Any Duchess Will Do (Spindle Cove, #4)",72.0,2013,4.04,23816.0
175,501,"Any Duchess Will Do (Spindle Cove, #4)",72.0,2013,4.04,23816.0
176,503,Something Wilder (Hardcover),9.0,2022,3.74,42112.0
177,504,"The Bronze Horseman (The Bronze Horseman, #1)",239.0,2000,4.3,78595.0
178,505,Love in the Time of Cholera (Paperback),240.0,1985,3.93,466520.0
179,506,"Life's Too Short (The Friend Zone, #3)",90.0,2021,4.21,53005.0
180,508,"The Heiress Effect (Brothers Sinister, #2)",113.0,2013,3.91,14403.0
181,509,"Sugar Daddy (Travises, #1)",68.0,2007,4.01,42517.0
182,510,An Enchantment of Ravens (Hardcover),300.0,2017,3.65,73870.0
183,511,Weather Girl (Paperback),88.0,2022,3.69,25101.0
184,512,"A Promise of Fire (Kingmaker Chronicles, #1)",242.0,2016,4.04,32350.0
185,514,"The Gamble (Colorado Mountain, #1)",231.0,2011,4.26,57504.0
186,516,Part of Your World (Paperback),90.0,2022,4.41,54863.0
187,517,"Kingdom of Ash (Throne of Glass, #7)",15.0,2018,4.62,261600.0
188,518,"Tower of Dawn (Throne of Glass, #6)",15.0,2017,4.28,246170.0
189,519,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",70.0,2012,4.14,156341.0
190,520,Ayesha at Last (Paperback),244.0,2018,3.89,21810.0
191,521,"Real (Real, #1)",245.0,2013,4.16,106565.0
192,522,"The ​Crown of Gilded Bones (Blood and Ash, #3)",55.0,2021,4.23,160403.0
193,523,"The Rogue Not Taken (Scandal & Scoundrel, #1)",104.0,2015,3.95,21806.0
194,524,"Do You Want to Start a Scandal (Spindle Cove, #5; Castles Ever After, #4)",72.0,2016,4.07,18892.0
195,525,Remember Me? (Hardcover),85.0,2008,3.8,240254.0
196,526,"Kiss the Sky (Calloway Sisters, #1)",111.0,2014,4.29,47515.0
197,528,"Grave Mercy (His Fair Assassin, #1)",246.0,2012,3.89,104570.0
198,529,"Crazy Stupid Bromance (Bromance Book Club, #3)",300.0,2020,3.91,25807.0
199,531,"Cemetery Boys (Cemetery Boys, #1)",247.0,2020,4.33,63034.0
200,532,"Pucked (Pucked, #1)",169.0,2015,3.92,58892.0
201,533,"Strange the Dreamer (Strange the Dreamer, #1)",70.0,2017,4.28,107451.0
202,534,Redeeming Love (Paperback),248.0,1991,4.5,273997.0
203,535,"Royal Holiday (The Wedding Date, #4)",38.0,2019,3.5,35927.0
204,536,"Ella Enchanted (Ella Enchanted, #1)",249.0,1997,3.99,403722.0
205,537,Bossman (Kindle Edition),250.0,2016,4.16,63756.0
206,538,"The Hook Up (Game On, #1)",251.0,2014,3.97,53050.0
207,539,"Still Me (Me Before You, #3)",11.0,2018,4.12,181067.0
208,540,"Warm Bodies (Warm Bodies, #1)",252.0,2010,3.91,102702.0
209,541,"Lover Unleashed (Black Dagger Brotherhood, #9)",300.0,2011,4.27,90350.0
210,542,Marriage for One (Kindle Edition),192.0,2019,3.93,60911.0
211,543,Emergency Contact (Hardcover),253.0,2018,3.67,38653.0
212,544,"Wicked and the Wallflower (The Bareknuckle Bastards, #1)",104.0,2018,3.98,17089.0
213,545,"One Foot in the Grave (Night Huntress, #2)",141.0,2008,4.29,101508.0
214,546,"Never Seduce a Scot (The Montgomerys and Armstrongs, #1)",254.0,2012,4.15,31542.0
215,547,"Captivated by You (Crossfire, #4)",36.0,2014,4.12,104998.0
216,548,The Dead Romantics (Paperback),175.0,2022,4.1,27054.0
217,549,"The Last Boyfriend (Inn BoonsBoro Trilogy, #2)",93.0,2012,4.08,46691.0
218,550,Forbidden (Paperback),255.0,2010,4.0,67402.0
219,551,By Your Side (Paperback),199.0,2017,3.86,47582.0
220,553,The Witness (Paperback),93.0,2012,4.22,75491.0
221,554,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",256.0,1986,4.28,284025.0
222,555,"Dragon Bound (Elder Races, #1)",257.0,2011,4.08,48193.0
223,556,"Match Me If You Can (Chicago Stars, #6)",163.0,2005,4.13,45324.0
224,559,The Thorn Birds (Mass Market Paperback),300.0,1977,4.24,336478.0
225,560,"Torment (Fallen, #2)",95.0,2010,3.85,226778.0
226,561,The Roughest Draft (Paperback),259.0,2022,3.67,26355.0
